,Date,Open,High,Low,Close,Volume,Adj Close,Years Since 2009,Daily Avg,Daily Range
33,2009-11-12,569.560961,572.900953,565.500993,567.850959,3786600,283.641838,0.86301369863,569.200973,7.39996
34,2009-11-11,570.480963,573.500973,565.86098,570.560974,4656700,284.995491,0.860273972603,569.6809765,7.639993
35,2009-11-10,562.73094,568.780947,562.000979,566.760949,4478200,283.097377,0.857534246575,565.390963,6.779968
36,2009-11-09,555.450934,562.580965,554.230922,562.51094,5319500,280.974496,0.854794520548,558.4059435,8.350043
37,2009-11-06,547.720944,551.780973,545.50092,551.100943,3667000,275.275196,0.846575342466,548.6409465,6.280053
38,2009-11-05,543.490908,549.770962,542.660903,548.650933,3709100,274.051415,0.843835616438,546.2159325,7.110059
39,2009-11-04,540.800927,545.50092,536.420916,540.330909,4682800,269.895559,0.841095890411,540.960918,9.080004
40,2009-11-03,530.010921,537.500939,528.300919,537.290926,4778100,268.377086,0.838356164384,532.900929,9.20002
41,2009-11-02,537.080913,539.460898,528.24088,533.990939,6428200,266.728741,0.835616438356,533.850889,11.220018
42,2009-10-30,550.000947,550.170955,534.240896,536.120906,6962900,267.79266,0.827397260274,542.2059255,15.930059
43,2009-10-29,543.010904,551.830965,541.000954,551.050951,5064000,275.250225,0.824657534247,546.4159595,10.830011
44,2009-10-28,547.870919,550.000947,538.250934,540.300951,5154800,269.880595,0.821917808219,544.1259405,11.750013
45,2009-10-27,550.97094,554.560952,544.160953,548.290945,6457000,273.871601,0.819178082192,549.3609525,10.399999
46,2009-10-26,555.750944,561.640991,550.890929,554.21095,5963000,276.828646,0.816438356164,556.26596,10.750062
47,2009-10-23,555.250968,557.890958,551.200926,553.690941,4803200,276.568902,0.808219178082,554.545942,6.690032
48,2009-10-22,550.000947,555.00095,548.000921,554.090934,4690400,276.768698,0.805479452055,551.5009355,7.000029
49,2009-10-21,549.91095,559.350941,549.000934,551.100943,7368600,275.275196,0.802739726027,554.1759375,10.350007
50,2009-10-20,551.640924,552.950933,540.700944,551.720935,8117600,275.584882,0.8,546.8259385,12.249989
51,2009-10-19,552.690928,553.600944,548.730943,552.090969,6459800,275.769715,0.797260273973,551.1659435,4.870001
52,2009-10-16,547.330938,554.750931,544.530926,549.850972,17749900,274.650835,0.78904109589,549.6409285,10.220005
53,2009-10-15,533.750906,536.900919,527.270887,529.910938,12246500,264.690778,0.786301369863,532.085903,9.630032
54,2009-10-14,532.460931,535.580924,530.000935,535.32092,6541200,267.393067,0.783561643836,532.7909295,5.579989
55,2009-10-13,524.390926,527.460928,521.380901,526.110913,6097400,262.792664,0.780821917808,524.4209145,6.080027
56,2009-10-12,523.420871,525.760912,519.320898,524.040924,6669200,261.758703,0.778082191781,522.540905,6.440014
57,2009-10-09,516.650889,521.510903,514.500888,516.250896,5496600,257.86758,0.769863013699,518.0058955,7.010015
58,2009-10-08,519.570916,523.250924,513.340885,514.180906,8639800,256.83362,0.767123287671,518.2959045,9.910039
59,2009-10-07,499.000842,518.990868,497.81085,517.540871,9784800,258.511924,0.764383561644,508.400859,21.180018
60,2009-10-06,491.700834,499.370846,491.700834,498.740868,5485000,249.121313,0.761643835616,495.53584,7.670012
61,2009-10-05,487.650822,492.430856,483.340836,488.520833,4305100,244.0164,0.758904109589,487.885846,9.09002
62,2009-10-02,483.740829,491.74084,482.600827,484.58082,5221000,242.048362,0.750684931507,487.1708335,9.140013
63,2009-10-01,493.000857,496.470852,487.000841,487.200838,5647400,243.357062,0.747945205479,491.7358465,9.470011
64,2009-09-30,500.000855,500.140844,487.240843,495.85086,6306800,247.677752,0.745205479452,493.6908435,12.900001
65,2009-09-29,499.530868,499.750867,493.010843,498.530855,4214000,249.016411,0.742465753425,496.380855,6.740024
